Año,Trimestre,Provincia,Accesos por cada 100 hogares
2017,2,Tierra Del Fuego,68.46322075955756
2017,2,Tucumán,38.18623365639289
2017,1,Buenos Aires,58.57400244920328
2017,1,Capital Federal,108.3692083656081
2017,1,Catamarca,25.65935083802151
2017,1,Chaco,28.62166053842791
2017,1,Chubut,35.66222023776302
2017,1,Córdoba,57.65332959287443
2017,1,Corrientes,30.94060010964414
2017,1,Entre Ríos,44.90727368704123
2017,1,Formosa,19.84248917864586
2017,1,Jujuy,22.75698596223235
2017,1,La Pampa,62.66928104575163
2017,1,La Rioja,16.19552414605418
2017,1,Mendoza,31.84301277017966
2017,1,Misiones,29.52220236313104
2017,1,Neuquén,61.02302006782746
2017,1,Río Negro,46.02953874119518
2017,1,Salta,32.57548931482305
2017,1,San Juan,27.03676098842391
2017,1,San Luis,9.545500193678896
2017,1,Santa Cruz,26.52499173785465
2017,1,Santa Fe,51.97010769208043
2017,1,Santiago Del Estero,14.70211949336859
2017,1,Tierra Del Fuego,68.91974851288131
2017,1,Tucumán,37.90016075894098
2016,4,Buenos Aires,61.23658743035686
2016,4,Capital Federal,120.6313317363236
2016,4,Catamarca,26.54351558996191
2016,4,Chaco,28.78665608525526
2016,4,Chubut,36.07290546427898
2016,4,Córdoba,57.69671915437898
2016,4,Corrientes,30.98107037649768
2016,4,Entre Ríos,45.208402854677
2016,4,Formosa,19.84823607816392
2016,4,Jujuy,22.65138700824143
2016,4,La Pampa,63.01618276865403
2016,4,La Rioja,16.45531638401623
2016,4,Mendoza,32.10735338479002
2016,4,Misiones,29.72014980779742
2016,4,Neuquén,60.87366722819905
2016,4,Río Negro,46.38521035065572
2016,4,Salta,32.69411973937546
2016,4,San Juan,27.29242145219706
2016,4,San Luis,9.640682435370556
2016,4,Santa Cruz,27.04676021484584
2016,4,Santa Fe,52.19105023718895
2016,4,Santiago Del Estero,15.06784751043335
2016,4,Tierra Del Fuego,70.30526590539473
2016,4,Tucumán,37.9807622036193
2016,3,Buenos Aires,60.14329545468815
2016,3,Capital Federal,120.7728777510153
2016,3,Catamarca,26.48067675746367
2016,3,Chaco,28.91074906848095
2016,3,Chubut,36.17869442878647
2016,3,Córdoba,58.24381625803197
2016,3,Corrientes,31.06687882605118
2016,3,Entre Ríos,45.43514088447326
2016,3,Formosa,18.63970830286285
2016,3,Jujuy,22.60515426525686
2016,3,La Pampa,61.73178543650905
2016,3,La Rioja,17.07455910648411
2016,3,Mendoza,32.08835884566649
2016,3,Misiones,29.90538577589819
2016,3,Neuquén,60.21485088853954
2016,3,Río Negro,46.38796536215942
2016,3,Salta,32.95583168118035
2016,3,San Juan,27.31712713599077
2016,3,San Luis,9.630539686885157
2016,3,Santa Cruz,26.8352018954507
2016,3,Santa Fe,52.67215036886248
2016,3,Santiago Del Estero,15.32964657847289
2016,3,Tierra Del Fuego,68.94049249100736
